Date,Raw tweet
2023-01-28 09:40:41+00:00,"@TheLotanna @williamsefe16 @PeterObi 😅😅😅
I have been laughing since"
2023-01-28 09:40:37+00:00,@2_amaechi @BikerZenani @binturasululah @PO_GrassRootM @PeterObi @JOnuchima @AustinNwabufo @Chukwum30472101 Gbam
2023-01-28 09:40:20+00:00,@PeterObi Nice one sir
2023-01-28 09:40:17+00:00,@solakafinta @PeterObi @NgLabour @AishaYesufu @UtomiPat @OselokaHObaze @dattibabaahmed @ChigozieIAlex @Jack_ng01 @JackObinyan @firstladyship Sola is beginning to sound entitled.
2023-01-28 09:40:15+00:00,"@RenMonterrosa1 @raypaxful @PeterObi Stop tweeting rubbish!!! EVERY COUNTRY has bad and good in and about them.... you people just like giving Nigeria 🇳🇬 unjustifiable bad publicity at every slight chance. 

NB: only  GREEDY  people falls victim of scam/ers. Smh 🤦‍♀️ 🙄"
2023-01-28 09:40:14+00:00,@solakafinta @PeterObi @NgLabour @AishaYesufu @UtomiPat @OselokaHObaze @dattibabaahmed @ChigozieIAlex @Jack_ng01 @JackObinyan @firstladyship I even thought I'd hear something really important.
2023-01-28 09:40:12+00:00,@SpecialAdaide @solakafinta @PeterObi @NgLabour @AishaYesufu @UtomiPat @OselokaHObaze @dattibabaahmed @ChigozieIAlex @Jack_ng01 @JackObinyan @firstladyship Just dey play. You can't judge people by their choices. Bear it in mind it is not 100% guaranteed that every individual that will benefit from Obi don't make it look like if Obi don't win All of the people in nigeria will suffer who will die will die and who will suffer will
2023-01-28 09:40:10+00:00,@honexcess @PeterObi My sincere condolences
2023-01-28 09:40:09+00:00,"is to conduct a brain surgery to remove the tumor completely. 
Please if you see this, help by donating and reposting. Thank you 🙏🏽 @CaptJamyl @AlikoDangoteFdn @elrufai @followKWSG @realFemiOtedola @TemiOtedola @mrmacaronii @DONJAZZY @PeterObi @SamdGreat01 @Obacruze"
2023-01-28 09:40:07+00:00,"@PeterObi @phreakytahj All hands on deck! I want this country to develop the way Dubai and China did. 

Most especially like China did!

China, my love 💓 🥰"
2023-01-28 09:40:37+00:00,@obidatti_s You didn't have to do that🤣🤣🤣🤣
2023-01-28 09:37:52+00:00,@one_zarah No it’s the chest that aches cos they don’t have breast https://t.co/ywzVFx620a
2023-01-28 09:35:01+00:00,"Blessed Saturday.
God bless Nigeria with OBIDATTI. https://t.co/WH6v0YDR4H"
