Date,Raw tweet
2023-01-28 09:40:43+00:00,"🗣We would have probably bowled as well because of the rains but it’s not a bad thing to bat first and put up a score on the board.
- Sunil Narine🇹🇹"
2023-01-28 09:40:42+00:00,"@imRoyPolo @Think1nine @Diseye_ Yes sir!  
Does he have governors &amp; legislators?
Is his party in power? 
You people claim he doesn't have financial &amp; other structures compared to bat &amp; atiku

Abi what exactly is your point ?"
2023-01-28 09:40:40+00:00,"@OluwatosinOke8 @Ayowaleh You guys should think, if it is regional elections BAT and OBI is out, you guy should better be careful of what you tweet"
2023-01-28 09:40:38+00:00,@RealLifeSameer @Muhammadbinza Ground reality pe bat ki hai
2023-01-28 09:40:13+00:00,"BAT's health challenges seem to be affecting all his supporters. They have memory loss just like him, they lose touch with reality just like him, they blab just like him, they even lie just like him. Tragic!"
2023-01-28 09:40:07+00:00,"@the_Lawrenz Johnny bravo
Tom $ jerry
Scoopy dooo
Fantastic four
Bat man
Spiderman
Superman
Supa Stikazz (shegs)

😂 😂 😂 😂 All on silverbird TV den in lag"
2023-01-28 09:40:01+00:00,@SanjayAzadSln Black ticket chor mat Gyan bat ....
2023-01-28 09:39:59+00:00,Ok I will point this out again. The point here ISN’T they didn’t realize the account was parody..The point is (and a scary one) that people are so crazy now that it is so hard to tell which ones are parody accounts &amp; which are bat shit crazy real..LOL @Brick_Suit @ClownWorld_ https://t.co/wI8hPR5H0v
2023-01-28 09:39:50+00:00,@ruffydfire Are you a politician or what? All of your own is to attack Bat Nawa 4 u ooo
2023-01-28 09:39:42+00:00,THW LITTLE BAT WINGGGGGGGGGGGGGGGGGGG UAAAAAAAAAAAAAAAAAA https://t.co/eQecgMjERg
2023-01-28 07:45:21+00:00,"As we go into the poll come February 25, 2023 to cast our votes for the #TinubuShettima ticket for a #RenewedHope, let's make sure the BVAS machine starts with 000. Share this important info with your loved ones and encourage them our choice remains #TinubuShettima. https://t.co/XeK1sLkqUJ"
2023-01-28 07:40:35+00:00,"As we go into the poll come February 25, 2023 to cast our votes for the #TinubuShettima ticket for a #RenewedHope, let's make sure the BVAS machine starts with 000. Share this important info with your loved ones and encourage them our choice remains #TinubuShettima. https://t.co/d1qNVCXYFg"
2023-01-28 07:39:27+00:00,"As we go into the poll come February 25, 2023 to cast our votes for the #TinubuShettima ticket for a #RenewedHope, let's make sure the BVAS machine starts with 000. Share this important info with your loved ones and encourage them our choice remains #TinubuShettima. https://t.co/yKvj3tbNXW"
